Compressor,Dataset,IO_Method,Error_Bound,Iteration,Read_Time,Compression_Time,Write_Compressed_Time,Read_Compressed_Time,Decompression_Time,Write_Decompressed_Time
sz,nyx/temperature.f32,hdf5,0.100000,6,0.342226,3.026231,0.109549,0.120302,7.000261,0.320310
sz,nyx/temperature.f32,hdf5,0.100000,7,0.456117,4.008660,0.167739,0.138711,7.173097,0.233653
sz,nyx/temperature.f32,hdf5,0.100000,8,0.405864,4.281101,0.116214,0.088996,8.071251,0.386205
sz,nyx/temperature.f32,hdf5,0.100000,9,0.465087,3.356498,0.094349,0.087684,7.097411,0.381806
sz,nyx/temperature.f32,hdf5,0.100000,10,0.336056,3.078893,0.099203,0.084428,7.113135,0.274668
sz,nyx/temperature.f32,hdf5,0.100000,11,0.338172,3.043771,0.097128,0.095505,7.071550,0.328141
sz,nyx/temperature.f32,hdf5,0.100000,12,0.387887,3.904397,0.135857,0.131990,8.650491,0.350053
sz,nyx/temperature.f32,hdf5,0.100000,13,0.530461,3.694583,0.115015,0.089817,7.575893,0.370255
sz,nyx/temperature.f32,hdf5,0.100000,14,0.502791,4.530591,0.174095,0.130292,10.422020,0.310299
sz,nyx/temperature.f32,hdf5,0.100000,15,0.436439,3.718601,0.154960,0.125270,7.147236,0.285100
sz,nyx/temperature.f32,hdf5,0.100000,16,0.344546,3.044305,0.183531,0.158327,8.765827,0.291704
sz,nyx/temperature.f32,hdf5,0.100000,17,0.343395,3.031098,0.101216,0.094152,6.988088,0.301359
sz,nyx/temperature.f32,hdf5,0.100000,18,0.360089,3.023371,0.111508,0.095050,7.089027,0.313038
sz,nyx/temperature.f32,hdf5,0.100000,19,0.346125,3.031163,0.090206,0.084864,7.092870,0.297199
sz,nyx/temperature.f32,hdf5,0.100000,20,0.452288,4.490597,0.102187,0.105284,8.987606,0.226417
sz,nyx/temperature.f32,hdf5,0.100000,21,0.322741,3.981271,0.081024,0.100597,8.115031,0.256914
sz,nyx/temperature.f32,hdf5,0.100000,22,0.332572,3.020183,0.091398,0.085554,7.045908,0.195703
sz,nyx/temperature.f32,hdf5,0.100000,23,0.331264,3.611963,0.114785,0.119656,8.249348,0.297627
sz,nyx/temperature.f32,hdf5,0.100000,24,0.321757,3.026196,0.097213,0.080555,7.174070,0.276746
