Dataset,Field,Compressor,Node,Rank,Cores,REL Error Bound,I/O Method,Iteration,Compression Runtime (s),I/O Runtime (s),Compression Energy (J),I/O Energy (J),Compressed Data Size
nyx,temperature.f32,SZ3,1,2,128,1.000000e-03,NetCDF,8,6.936488e+00,5.078782e-02,1.962836e+03,1.350784e+01,984854
nyx,temperature.f32,SZ3,0,2,128,1.000000e-03,NetCDF,8,6.936484e+00,5.078810e-02,1.897526e+03,1.008048e+01,984854
nyx,temperature.f32,SZ3,0,2,128,1.000000e-03,NetCDF,9,6.936484e+00,5.308639e-02,1.897526e+03,1.121384e+01,984854
nyx,temperature.f32,ZFP,2,3,128,1.000000e-03,HDF5,0,2.447382e+00,1.023656e-01,7.086987e+02,2.655187e+01,21233456
nyx,temperature.f32,ZFP,0,2,128,1.000000e-03,HDF5,1,2.447380e+00,1.072580e-01,7.165701e+02,2.736602e+01,21233456
nyx,temperature.f32,ZFP,1,2,128,1.000000e-03,HDF5,2,2.447387e+00,1.321352e-01,7.233670e+02,3.749905e+01,21233456
nyx,temperature.f32,ZFP,0,2,128,1.000000e-03,HDF5,3,2.447380e+00,1.107080e-01,7.165701e+02,3.107567e+01,21233456
nyx,temperature.f32,ZFP,1,2,128,1.000000e-03,HDF5,4,2.447387e+00,9.721564e-02,7.233670e+02,2.717974e+01,21233456
nyx,temperature.f32,ZFP,0,2,128,1.000000e-03,HDF5,5,2.447380e+00,1.297818e-01,7.165701e+02,3.729171e+01,21233456
nyx,temperature.f32,ZFP,2,3,128,1.000000e-03,HDF5,5,2.447382e+00,1.297787e-01,7.086987e+02,3.646835e+01,21233456
nyx,temperature.f32,ZFP,0,2,128,1.000000e-03,HDF5,6,2.447380e+00,1.197203e-01,7.165701e+02,3.379245e+01,21233456
nyx,temperature.f32,ZFP,1,2,128,1.000000e-03,HDF5,7,2.447387e+00,1.310315e-01,7.233670e+02,3.648062e+01,21233456
nyx,temperature.f32,ZFP,0,2,128,1.000000e-03,HDF5,8,2.447380e+00,1.224695e-01,7.165701e+02,3.168937e+01,21233456
nyx,temperature.f32,ZFP,2,3,128,1.000000e-03,HDF5,8,2.447382e+00,1.228941e-01,7.086987e+02,3.348838e+01,21233456
nyx,temperature.f32,ZFP,1,2,128,1.000000e-03,HDF5,9,2.447387e+00,9.924394e-02,7.233670e+02,2.796770e+01,21233456
nyx,temperature.f32,ZFP,2,3,128,1.000000e-03,NetCDF,0,2.447382e+00,2.469312e-01,7.086987e+02,6.925818e+01,21233456
nyx,temperature.f32,ZFP,0,2,128,1.000000e-03,NetCDF,1,2.447380e+00,3.016356e-01,7.165701e+02,7.988023e+01,21233456
nyx,temperature.f32,ZFP,1,2,128,1.000000e-03,NetCDF,2,2.447387e+00,2.480422e-01,7.233670e+02,6.866883e+01,21233456
nyx,temperature.f32,ZFP,1,2,128,1.000000e-03,NetCDF,3,2.447387e+00,2.354242e-01,7.233670e+02,6.866865e+01,21233456
