Compressor,Dataset,Field,REL Error Bound,ABS Error Bound,Iteration,Compression Rate,Decompression Rate,Avg Difference,Avg Error,Difference Range,Error Range,Max Error,Max PW-REL Error,Max REL Error,Min Error,Min PW-REL Error,Min REL Error,MSE,Number of Elements,PSNR,RMSE,NRMSE,Max Value,Mean Value,Min Value,Value Range,Std Dev,Bit Rate,Compressed Size,Compression Ratio,Decompressed Size,Uncompressed Size,Compression Runtime (s),Decompression Runtime (s),CPU Core,Threads,Compression Energy (J),Decompression Energy (J)
zfp,nyx,baryon_density.f32,1.000000e-03,1.158622e+02,0,8.772401e+05,1.312643e+06,-5.119133e-02,3.884926e-01,3.389248e+01,1.744932e+01,1.744932e+01,3.478692e+01,1.506041e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.504764e-01,134217728,1.072912e+02,5.004762e-01,4.319580e-06,1.158623e+05,1.000000e+00,5.799697e-02,1.158622e+05,2.401417e+01,2.134948e-01,3581848,1.498866e+02,536870912,536870912,0.873153,0.847148,53,1,1.940992e+02,1.898978e+02
zfp,nyx,baryon_density.f32,1.000000e-03,1.158622e+02,1,8.786758e+05,1.278264e+06,-5.119133e-02,3.884926e-01,3.389248e+01,1.744932e+01,1.744932e+01,3.478692e+01,1.506041e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.504764e-01,134217728,1.072912e+02,5.004762e-01,4.319580e-06,1.158623e+05,1.000000e+00,5.799697e-02,1.158622e+05,2.401417e+01,2.134948e-01,3581848,1.498866e+02,536870912,536870912,0.872590,0.857685,53,1,1.936025e+02,1.927730e+02
zfp,nyx,baryon_density.f32,1.000000e-03,1.158622e+02,2,8.801162e+05,1.242757e+06,-5.119133e-02,3.884926e-01,3.389248e+01,1.744932e+01,1.744932e+01,3.478692e+01,1.506041e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.504764e-01,134217728,1.072912e+02,5.004762e-01,4.319580e-06,1.158623e+05,1.000000e+00,5.799697e-02,1.158622e+05,2.401417e+01,2.134948e-01,3581848,1.498866e+02,536870912,536870912,0.871587,0.866763,53,1,1.932487e+02,1.937072e+02
zfp,nyx,baryon_density.f32,1.000000e-03,1.158622e+02,3,8.786758e+05,1.312643e+06,-5.119133e-02,3.884926e-01,3.389248e+01,1.744932e+01,1.744932e+01,3.478692e+01,1.506041e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.504764e-01,134217728,1.072912e+02,5.004762e-01,4.319580e-06,1.158623e+05,1.000000e+00,5.799697e-02,1.158622e+05,2.401417e+01,2.134948e-01,3581848,1.498866e+02,536870912,536870912,0.872116,0.847259,53,1,1.935369e+02,1.919444e+02
zfp,nyx,baryon_density.f32,1.000000e-03,1.158622e+02,4,8.801162e+05,1.299930e+06,-5.119133e-02,3.884926e-01,3.389248e+01,1.744932e+01,1.744932e+01,3.478692e+01,1.506041e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.504764e-01,134217728,1.072912e+02,5.004762e-01,4.319580e-06,1.158623e+05,1.000000e+00,5.799697e-02,1.158622e+05,2.401417e+01,2.134948e-01,3581848,1.498866e+02,536870912,536870912,0.872514,0.870683,53,1,1.949435e+02,1.949502e+02
zfp,nyx,baryon_density.f32,1.000000e-03,1.158622e+02,5,8.786758e+05,1.306255e+06,-5.119133e-02,3.884926e-01,3.389248e+01,1.744932e+01,1.744932e+01,3.478692e+01,1.506041e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.504764e-01,134217728,1.072912e+02,5.004762e-01,4.319580e-06,1.158623e+05,1.000000e+00,5.799697e-02,1.158622e+05,2.401417e+01,2.134948e-01,3581848,1.498866e+02,536870912,536870912,0.872065,0.846045,53,1,1.955418e+02,1.894540e+02
zfp,nyx,baryon_density.f32,1.000000e-03,1.158622e+02,6,8.772401e+05,1.303085e+06,-5.119133e-02,3.884926e-01,3.389248e+01,1.744932e+01,1.744932e+01,3.478692e+01,1.506041e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.504764e-01,134217728,1.072912e+02,5.004762e-01,4.319580e-06,1.158623e+05,1.000000e+00,5.799697e-02,1.158622e+05,2.401417e+01,2.134948e-01,3581848,1.498866e+02,536870912,536870912,0.872671,0.847739,53,1,1.938420e+02,1.898942e+02
zfp,nyx,baryon_density.f32,1.000000e-03,1.158622e+02,7,8.786758e+05,1.296790e+06,-5.119133e-02,3.884926e-01,3.389248e+01,1.744932e+01,1.744932e+01,3.478692e+01,1.506041e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.504764e-01,134217728,1.072912e+02,5.004762e-01,4.319580e-06,1.158623e+05,1.000000e+00,5.799697e-02,1.158622e+05,2.401417e+01,2.134948e-01,3581848,1.498866e+02,536870912,536870912,0.871918,0.850715,53,1,1.935667e+02,1.905952e+02
zfp,nyx,baryon_density.f32,1.000000e-03,1.158622e+02,8,8.801162e+05,1.309441e+06,-5.119133e-02,3.884926e-01,3.389248e+01,1.744932e+01,1.744932e+01,3.478692e+01,1.506041e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.504764e-01,134217728,1.072912e+02,5.004762e-01,4.319580e-06,1.158623e+05,1.000000e+00,5.799697e-02,1.158622e+05,2.401417e+01,2.134948e-01,3581848,1.498866e+02,536870912,536870912,0.871259,0.856107,53,1,1.933299e+02,1.919103e+02
zfp,nyx,baryon_density.f32,1.000000e-03,1.158622e+02,9,8.786758e+05,1.319093e+06,-5.119133e-02,3.884926e-01,3.389248e+01,1.744932e+01,1.744932e+01,3.478692e+01,1.506041e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.504764e-01,134217728,1.072912e+02,5.004762e-01,4.319580e-06,1.158623e+05,1.000000e+00,5.799697e-02,1.158622e+05,2.401417e+01,2.134948e-01,3581848,1.498866e+02,536870912,536870912,0.872275,0.842483,53,1,1.937194e+02,1.886199e+02
