Compressor,Dataset,Field,ABS Error Bound,Iteration,Compression Rate,Decompression Rate,Avg Difference,Avg Error,Difference Range,Error Range,Max Error,Max PW-REL Error,Max REL Error,Min Error,Min PW-REL Error,Min REL Error,MSE,Number of Elements,PSNR,RMSE,NRMSE,Max Value,Mean Value,Min Value,Value Range,Std Dev,Bit Rate,Compressed Size,Compression Ratio,Decompressed Size,Uncompressed Size,Compression Runtime (s),Decompression Runtime (s),CPU Core,Threads,Compression Energy (J),Decompression Energy (J)
sz_omp,nyx,temperature.f32,0.1,0,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.668203,6.369483,201,1,557.5095448679806,968.0619007111493
sz_omp,nyx,temperature.f32,0.1,1,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.602597,6.364897,201,1,547.538457880535,967.3649003617235
sz_omp,nyx,temperature.f32,0.1,2,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.794397,6.409407,201,1,576.6890612429114,974.1297249480601
sz_omp,nyx,temperature.f32,0.1,3,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.605485,6.386498,201,1,547.9773887591093,970.6479148728323
sz_omp,nyx,temperature.f32,0.1,4,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.614615,6.39085,201,1,549.3650061141589,971.3093508782185
sz_omp,nyx,temperature.f32,0.1,5,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.792593,6.412333,201,1,576.4148814281787,974.5744312329315
sz_omp,nyx,temperature.f32,0.1,6,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.607558,6.381834,201,1,548.2924523710499,969.9390597420601
sz_omp,nyx,temperature.f32,0.1,7,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.620135,6.389514,201,1,550.2039598709905,971.1062997515651
sz_omp,nyx,temperature.f32,0.1,8,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.619191,6.565844,201,1,550.0604866198221,997.9057048135453
sz_omp,nyx,temperature.f32,0.1,9,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.619586,6.414822,68,1,550.1205204484361,974.9527203453869
sz_omp,nyx,temperature.f32,0.1,10,5.53e-322,0.0,1.448763e-316,3.5e-323,5.53e-322,0.0,,3.56e-322,1.5e-323,1.5e-323,6.953096e-310,1.931016e-312,2.525175e-312,29323286,0.0,0.0,0.0,0.0,1.039778e-312,5e-324,5.53e-322,1.448764e-316,1.112775e-310,7,3.56e-322,80,0,3.624293,6.405098,68,1,550.8359109073866,973.4748242708522
