Compressor,Dataset,Field,ABS Error Bound,Iteration,Compression Rate,Decompression Rate,Avg Difference,Avg Error,Difference Range,Error Range,Max Error,Max PW-REL Error,Max REL Error,Min Error,Min PW-REL Error,Min REL Error,MSE,Number of Elements,PSNR,RMSE,NRMSE,Max Value,Mean Value,Min Value,Value Range,Std Dev,Bit Rate,Compressed Size,Compression Ratio,Decompressed Size,Uncompressed Size,Compression Runtime (ms),Decompression Runtime (ms),CPU Core,Compression Energy (J),Decompression Energy (J)
sz,s3d,stat_planar.1.1000E-03.field.d64,0.1,0,433053.8,706850.0,-0.0002614162,0.004599853,0.2,0.1,0.1,8.388209e+16,0.006501831,0.0,0.0,0.0,0.0001763967,1375000000,61.27438,0.01328144,0.0008635369,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.07609978,13079650,841.0011,11000000000,11000000000,25401,15562,142,884.0009402656289,541.5858679742419
sz,s3d,stat_planar.1.1000E-03.field.d64,0.1,1,398724.1,719848.2,-0.0002614162,0.004599853,0.2,0.1,0.1,8.388209e+16,0.006501831,0.0,0.0,0.0,0.0001763967,1375000000,61.27438,0.01328144,0.0008635369,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.07609978,13079650,841.0011,11000000000,11000000000,27588,15281,14,960.1125128950895,531.8065575449422
sz,s3d,stat_planar.1.1000E-03.field.d64,0.1,2,451060.0,775849.9,-0.0002614162,0.004599853,0.2,0.1,0.1,8.388209e+16,0.006501831,0.0,0.0,0.0,0.0001763967,1375000000,61.27438,0.01328144,0.0008635369,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.07609978,13079650,841.0011,11000000000,11000000000,24387,14178,14,848.7118983606114,493.4201539737052
sz,s3d,stat_planar.1.1000E-03.field.d64,0.1,3,422979.3,778100.0,-0.0002614162,0.004599853,0.2,0.1,0.1,8.388209e+16,0.006501831,0.0,0.0,0.0,0.0001763967,1375000000,61.27438,0.01328144,0.0008635369,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.07609978,13079650,841.0011,11000000000,11000000000,26006,14137,132,905.0560392326265,491.9932794982558
sz,s3d,stat_planar.1.1000E-03.field.d64,0.1,4,440881.8,777605.0,-0.0002614162,0.004599853,0.2,0.1,0.1,8.388209e+16,0.006501831,0.0,0.0,0.0,0.0001763967,1375000000,61.27438,0.01328144,0.0008635369,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.07609978,13079650,841.0011,11000000000,11000000000,24950,14146,132,868.3053210356852,492.30649584652514
sz,s3d,stat_planar.1.1000E-03.field.d64,0.1,5,422183.8,769230.8,-0.0002614162,0.004599853,0.2,0.1,0.1,8.388209e+16,0.006501831,0.0,0.0,0.0,0.0001763967,1375000000,61.27438,0.01328144,0.0008635369,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.07609978,13079650,841.0011,11000000000,11000000000,26055,14300,132,906.761328239871,497.6659755835791
sz,s3d,stat_planar.1.1000E-03.field.d64,0.1,6,429419.1,715168.1,-0.0002614162,0.004599853,0.2,0.1,0.1,8.388209e+16,0.006501831,0.0,0.0,0.0,0.0001763967,1375000000,61.27438,0.01328144,0.0008635369,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.07609978,13079650,841.0011,11000000000,11000000000,25616,15381,132,891.4833308076197,535.2867391923797
sz,s3d,stat_planar.1.1000E-03.field.d64,0.1,7,390195.5,645010.0,-0.0002614162,0.004599853,0.2,0.1,0.1,8.388209e+16,0.006501831,0.0,0.0,0.0,0.0001763967,1375000000,61.27438,0.01328144,0.0008635369,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.07609978,13079650,841.0011,11000000000,11000000000,28191,17054,132,981.0980082291384,593.510178154011
sz,s3d,stat_planar.1.1000E-03.field.d64,0.01,0,438981.6,671714.7,-9.009224e-05,0.001095623,0.02,0.01,0.01,7.269781e+16,0.0006501831,0.0,0.0,0.0,5.729983e-06,1375000000,76.15775,0.002393738,0.0001556368,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.2524464,43389228,253.5191,11000000000,11000000000,25058,16376,11,896.0253148355802,585.5738908032349
sz,s3d,stat_planar.1.1000E-03.field.d64,0.01,1,410539.7,675509.7,-9.009224e-05,0.001095623,0.02,0.01,0.01,7.269781e+16,0.0006501831,0.0,0.0,0.0,5.729983e-06,1375000000,76.15775,0.002393738,0.0001556368,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.2524464,43389228,253.5191,11000000000,11000000000,26794,16284,11,958.1012964204859,582.2841498436662
sz,s3d,stat_planar.1.1000E-03.field.d64,0.01,2,477389.1,725928.9,-9.009224e-05,0.001095623,0.02,0.01,0.01,7.269781e+16,0.0006501831,0.0,0.0,0.0,5.729983e-06,1375000000,76.15775,0.002393738,0.0001556368,15.36255,1.096437,-0.0177315,15.38028,3.444214,0.2524464,43389228,253.5191,11000000000,11000000000,23042,15153,11,823.9370781563348,541.8417908733157
